text,attributeScores.INSULT.summaryScore.value
jairbolsonaro vai comprar vacina e para de se comportar feito uma blogueira de twitteira que vem reclamar de algo aqui oh imbecil,0.96336997
“frescura e minimi””o min da saúde “já” comprou as vacinas da pfizer”com um atraso de um anoe lá se vão mais  mortes nas últimas   morte a cada  segundose esse malditodesgraçado de um filha da putacontinua falando merda pqp jornaldaband jornaldacultura jn,0.96336997
uolnoticias  esse imbecíl não sabe que morrem pessoas por outras doenças pq as utis estão ocupadas por pacientes contaminados por covid,0.96336997
genocida fdpnnchega de frescura de mimimi vão ficar chorando até quando diz bolsonaro sobre pandemia,0.96336997
vivibec brumarquezine advogadosoacb a vsfd pelo menos na época da dilma ela tinha empatia quando  pessoas morreram na boate kiss enquanto esse seu fdp que tu chama de presidente tá cagando pra mais de  mil mortes por covid,0.96336997
jairbolsonaro e como trabalhar com segurança sem vacinas filho da puta,0.96336997
folha o imbecil falando que quem iria pagar a vacina era quem ele como se ele pagasse algo pra gente sendo que é a gente que paga pra esse animal ignorante somos nos proprios que pagamos nossas vacinas com o dinheiro dos impostos,0.96336997
se você foi pra rave e agora fica postando coisa sobre vacina contra governo e piadinha sobre mudanças de fase de alagoas você é uma fdp cuzona,0.96336997
dayrodriguesdl felipeneto o maluco não quis ir atrás de vacina pq os remédios que teriam que vir vender pra nósnagora fica com esse papinho de que não tem e quem reclama é erradonntrouxa é gado fdp que fica defendendo esse babaca,0.96336997
lucianohuck vc não se cansa de passar vergonha falta vacina no mundo inteiro imbecil,0.96336997
bolsonarosp sonairasp sua mãe vai morrer se ela pegar o covid aí sim vcs vão rir suas babacas,0.96336997
mais uma vez agradeço a todos que por aqui passaram e são a favor da compra das vacinas e da vacinaçãonestou respondendo a todosnestamos juntos nesse idealnnós os idiotas sabemos quem é o idiota de,0.96336997
jairbolsonaro para de falar merda e vai comprar vacina glub glub fdp,0.96336997
esquerdizadoro jairbolsonaro seu corno vc a vadia da sua mãe e toda sua corja da sua familicia já tomaram a vacina vc quer mais é que as pessoas morram mesmo continue tirando sua ou da de machao seu babanão messias dos,0.96336997
a pessoa que permanece bolsonarista ou se relaciona com alguma após perder parente para covid pode ser classificado  idiota,0.96336997
kkkkkkk agora tu se importa com o que o chefe de família bota na mesa ne mama aqui filho da puta do caralho vai comprar a vacina arrombado puto velho safado,0.96336997
coronavirus filha da puta do caralho adiando todos os meus planos,0.96336997
oantagonista jairbolsonaro seus imbecis ele tá certo vai cagar vacina agora,0.96336997
q se foda o rock in rio caralho tem gente morrendo em fila de hospital pra conseguir leito qnd o próprio presidente do brasil tá cagando pra isso e ainda manda comprar vacina na casa da tua mãe e tem gente que acha isso lindonnvcs deveriam é ter vergonha na cara bando de porra,0.96336997
o que me da mais ódio é que esse desgraçado desse presidente não pega essa porra desse vírus de novo pra morrer pq esse arrombado deve ter tomado vacina já,0.96336997
bolsonaro para de ser idiota e acelera logo essa vacina porra nvc vai tirar um problemão das tuas costas nburro,0.96336997
jairbolsonaro em agosto você não quis comprar vacina pra vacinar  da população né filho da puta,0.96336997
lixofemi jacquelinespfc as vacinas que o fdp não comprou são o quevai pastar sua burrice na pqpnimpeachmentbolsonarourgente vacinaparatodosja cpidacovid,0.96336997
“tem idiota que diz ‘vai comprar vacina’ só se for na casa da tua mãe” esbraveja bolsonaro após recorde de mortos,0.96336997
sabe o que evita as pessoas se suicidarem durante a pandemia bolsonaro vacina em massa pra gente poder ter uma vida próxima do normal seu filho da puta,0.96336997
jairbolsonaro a vacina eh pra todos seu arrombadongenocida idiotanjá que vc nao cai tomar a vacina pq não vai tomar no cu,0.96336997
a merda do bolsonaro tá falando pra gnt parar de frescura e de mimimi em relação ao covid quero q ele pegue covid e tenha q ser amarrado pra ser entubado sem a merda da anestesia vai se fuder filho ds puta ngm te aguenta mais como q tem gnt q ainda defende esse doente meo,0.96336997
dos novos casos de covid em sp são de pessoas com menos de  anosnnlarga de ser imbecil e colabora,0.96336997
anapaulavolei sua psicopata nojenta vc tem que ir pra cadeia disseminar fake news sobre vacina no dia recorde de mortos pelo covid deveria ser passivo de prisão perpétua sem caráter fracassada doente que o limbo do esquecimento caia sobre vc o mais rápido possível,0.96336997
eu to com covid filho da puta vai trabalhar,0.96336997
vai comprar vacina na casa da tua mãe porra doente,0.96336997
rosenecortez faço parte do grupo dos idiotas  cadê a vacina,0.96336997
eu aqui definhando de covid e essa puta safada negando vacina eh de fude vtnc,0.96336997
bolsonaro diz que tem idiota que pede compra de vacina só se for na casa da tua mãe,0.96336997
arthurlira carai o jairbolsonaro  no rolêzinho e minimizando o covid e cadê as vacinas que ele mostre sua carteira vacinal genocida um imbecil stfoficial  vcs vão deixar esses idiotas fuder os brasileirosnuol globonews folha,0.96336997
sem saúde não há economia diz guedes no dia em que bolsonaro xinga de idiota quem pede  até o postoipiranga sabe quem é o idiota,0.96336997
selenasartorelo estadao estadaosaude chupa vagabunda mentirosann,0.96336997
pq os mega pastores poderosos que curam aids fazem deficientes andarem e curam hemorroidas não se juntam em uma poderosa oração em favor dos enfermos acamados e entubados pela covid p curálos pq eles não curam a covid kd vcs filhos da puta,0.96336997
como um filho da puta é presidente de um país e é anti vacina anti democracia anti pesquisa ciência qualquer coisa que traga avanços para a nação e esse bosta ainda é presidente do país nquando a gente ficou tão complacente ncadê a primavera brasileira,0.96336997
guiipaussu   andrehenning eu comi um pudim e sarei da covid  seu arrombado falador de merda,0.96336997
mil mortos por covid e tudo poderia ter resolvido tudo se o filho da puta do adélio tivesse virado a faca,0.96336997
leevingador fodase mesmo o fdp quer salvar os filhinhos e colocar cabo achando que é general o babaca não sabe nem comprar aspirina imagina negiciar vacinanquem mandou votar nessa cambada de ladrãontodo mundo se fudeunnforabolsonaroegeneralzuzu,0.96336997
cs tão ligado q a nova variante do covid pode te matar mesmo né jovem e que a uti do tocantins tá com  lotada e só no brasil esses dias morreram mais  pessoas sim ent vai lá sai q vc super tá respeitando a vida de qm já foi parabéns vc eh um grande idiota,0.96336997
morre  num dia esse filha da puta manda geral parar de chororô fica brecando vacina num dá subsídio num apoia isolamento máscara lockdown então vai tomar no cu seu arrombado tu tá matando a gente seu filha da puta que ódio,0.96336997
pq esse porra não compra as vacinas logo tmnc presidente de merda egoistinha do caralho se fosse alguém da família dele internado nas alas de covid respirando com oxigênio comprado ele resolvia rapidinho são pessoas vidas que dependem dessa vacina,0.96336997
alesuri  rconstantino negacionistas só vocês mesmo  não as outras doenças são agravadas pela covid idiotas,0.96336997
nandofratello  ilsbbmp  gadodecider inútil e acéfalo espero que tua mãe não esteja mais aqui vendo toda a merda e chorume que tu é escroto vai trabalhar vc aproveita e morre de covid abraço,0.96336997
jairbolsonaro itamaratygovbr minsaude mdregionalbr exercitooficial defesagovbr compra vacina filho da puta,0.96336997
omelete o covid filha da puta da seu jeito ai que  tem copa e eu quero meu hexa,0.96336997
genocida bolsonaro tem idiota que pede compra de vacina só se for na casa da tua mãe,0.96336997
capitão cloroquina nnbolsonaro tem idiota que pede compra de vacina só se for na casa da tua mãe,0.96290195
todo bolsonarista é idiota quem destrói a economia é a pandemia e não as medidas de combate ao covid,0.9621102
dogenocida teu presidente só gastou milhões em um remédio que tem o mesmo efeito que  fatia de bolo contra a covid velho terraplanista imbecil,0.9618958
tem idiota que diz vai comprar vacina só se for nancasa da tua  na da tua eu sei que não é pq quem comprou foi o  não foi minha mãe que recusou  ofertas em  de tabaco,0.96179515
se vc não está preocupado com o atual momento com o quanto o covid está mais perto de vc ou tu é sem noção ou um imbecil que nem nosso respeitado presidente,0.9617128
